"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cameroon","CMR","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.7","4.7","4.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","",
"Congo, Dem. Rep.","COD","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221.3","221.3","221.3","196.4","225.9","272.3","272.3","272.3","14.5","14.5","14.5","14.5","14.5","14.5","14.5","",
"Congo, Rep.","COG","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","32","32","32","30.6","32","6","23.6","24.7","22.9","22.9","22.9","22.9","",
"Colombia","COL","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1","33.1","33.1","30.6","32.1","32.1","32.1","31.4","31.5","31.5","31.5","31.9","31.8","31.6","26.6","",
"Comoros","COM","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186.5","186.5","186.5","186.5","186.5","186.5","186.5","186.5","184.5","184.5","184.5","184.5","184.5","189.2","189.2","",
"Cabo Verde","CPV","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","12.6","12.6","12.6","13","0.2","0.8","0.8","0.7","0.7","0.4","0.4","0.4","0.4","0.4","",
"Costa Rica","CRI","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.6","6.4","6.4","6.4","6.4","6.4","6.4","6.4","",
"Caribbean small states","CSS","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.92727272727273","4.92727272727273","7.74166666666667","7.60833333333333","7.60833333333333","7.50833333333334","6.73076923076923","6.74615384615385","6.90769230769231","6.45384615384615","5.93076923076923","5.83846153846154","6.28461538461538","6.4","6.56923076923077","",
"Cuba","CUB","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.3","0.5","0.5","0.6","0.7","1.1","1.2","1.2","1.1","1.1","1.1","",
"Czech Republic","CZE","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","1.9","2.6","2.6","2.6","2.6","2.6","2.6","",
"Germany","DEU","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4.4","4.4","1.8","4.6","4.6","4.3","4.3","4.3","4.3","4.3","4.3","4.1","",
"Djibouti","DJI","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.4","2.4","2.4","2.4","2.7","2.7","2.7","2.2","2.2","2.2","2.3","2.6","2.6","2.6","",
"Dominica","DMA","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3","3","3","3","3","3","3","",
"Denmark","DNK","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","3","3","3","2.3","2.3","2.3","3.1","3","2.8","2.8","2.8","2.8","2.8","2.8","",
"Dominican Republic","DOM","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.6","1.1","1.1","1.1","1.1","1.1","1.2","1.1","1.1","1.1","1.1","1.1","1.1","1.1","",
"Algeria","DZA","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7","35.7","35.7","35.7","35.7","35.7","35.7","35.7","35.7","35.6","35.6","26.7","26.9","26.9","26.9","",
"East Asia & Pacific (excluding high income)","EAP","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.88823529411765","9.88823529411765","9.83529411764706","8.60588235294118","8.39411764705882","8.33529411764706","8.4","8.26666666666667","7.495","7.665","7.665","7.6","7.475","7.385","8.63","",
"Early-demographic dividend","EAR","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9018867924528","10.4584905660377","10.537037037037","10.8203703703704","9.98888888888889","9.65555555555556","10.2981481481482","10.0196428571429","9.17049180327869","8.23114754098361","8.22459016393443","7.21803278688524","7.43934426229508","7.3672131147541","7.88524590163934","",
"East Asia & Pacific","EAS","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4375","7.084","7.048","6.216","6.068","6.028","6.08","6.06538461538462","5.6","5.70344827586207","5.71034482758621","5.67241379310345","5.58620689655172","5.52068965517241","6.38275862068966","",
"Europe & Central Asia (excluding high income)","ECA","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8125","14.6411764705882","12.7","12.9470588235294","11.5777777777778","8.57222222222222","9.23888888888889","9.06111111111111","7.72105263157895","3.67368421052632","3.62105263157895","2.83157894736842","2.92105263157895","3.02105263157895","2.98421052631579","",
"Europe & Central Asia","ECS","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.02093023255814","6.82888888888889","5.99333333333333","5.96086956521739","5.61702127659574","4.30425531914894","4.78085106382979","4.91875","4.05102040816327","2.46734693877551","2.45714285714286","2.13265306122449","2.1734693877551","2.136","2.106","",
"Ecuador","ECU","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","2.6","2.6","2.6","2.6","3.1","3.1","3.1","2.9","2.9","2.9","2.5","2.5","2.5","2.5","",
