Pays_indic,Country Name,Country Code,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
"BEL_Foreign direct investment, net inflows (% of GDP)",Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",8.730432334370759,14.419942628684401,20.528738142323,36.953251497725894,16.0704608746845,26.092414949357,31.306951916507,2.38023345027808,-5.682227348616,-2.8439302162213798,-4.22249472994031,12.0945056635852,-7.41774090348338,-7.816627755147719,IDE
"BEL_GDP per capita, PPP (constant 2017 international $)",Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",46506.4722515995,47379.9490003291,48762.6562216541,48595.179553445305,47231.6373315927,48142.6242414888,48325.58285641349,48381.835080922196,48375.473650445194,48921.4371778732,49631.7242795872,50006.5772670858,50615.365831394294,51298.630323542806,gdb_hab
"BEL_GDP, PPP (constant 2017 international $)",Belgium,BEL,"GDP, PPP (constant 2017 international $)",487323510745.63794,499761712097.614,518137356214.43,520453060947.551,509936041829.079,524542102688.825,533430541522.966,537373752279.017,539841599283.094,548363177848.7,559557787346.025,566645629788.956,575757783559.912,586192218833.161,gdp
BEL_Gross capital formation (% of GDP),Belgium,BEL,Gross capital formation (% of GDP),23.681063200076398,23.9705491132595,24.6032741505197,25.9367703303917,22.1732845983869,23.1267766903187,24.5069391580875,23.689925828905896,22.4281969049074,23.136187718562102,23.6279503740568,24.2522122937008,24.4581970291091,25.527160671335697,FBCF
"BEL_Labor force, total",Belgium,BEL,"Labor force, total",4616055.0,4634840.0,4722773.0,4766246.0,4788280.0,4887403.0,4867090.0,4902316.0,4957316.0,4983423.0,5000910.0,5005505.0,5037405.0,5089752.0,labor_force
BEL_Labor tax and contributions (% of commercial profits),Belgium,BEL,Labor tax and contributions (% of commercial profits),49.5,49.4,49.3,49.2,49.0,49.2,49.2,49.6,49.1,49.5,49.4,48.9,46.2,46.2,labor_tax_contrib
BEL_Other taxes payable by businesses (% of commercial profits),Belgium,BEL,Other taxes payable by businesses (% of commercial profits),0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,other_taxes_entreprise
"BEL_Population, total",Belgium,BEL,"Population, total",10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,pop
BEL_Profit tax (% of commercial profits),Belgium,BEL,Profit tax (% of commercial profits),9.8,9.8,7.9,6.0,5.4,7.4,7.8,7.8,8.3,8.3,8.4,9.1,10.3,10.9,profit_tax
BEL_Research and development expenditure (% of GDP),Belgium,BEL,Research and development expenditure (% of GDP),1.7823099999999998,1.8142599999999998,1.8441299999999998,1.92413,1.98537,2.05081,2.1553299999999997,2.27334,2.33393,2.38729,2.46123,2.55595,2.70234,2.82119,RetD
BEL_Total tax and contribution rate (% of profit),Belgium,BEL,Total tax and contribution rate (% of profit),60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58.0,58.4,58.4,58.7,57.1,57.7,total_tax_contrib
"BEL_Unemployment, total (% of total labor force) (modeled ILO estimate)",Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.439999580383299,8.24600028991699,7.45800018310547,6.97599983215332,7.90799999237061,8.29199981689453,7.139999866485599,7.54199981689453,8.425000190734862,8.52299976348877,8.48200035095215,7.82999992370605,7.08599996566772,5.94799995422363,unemployment rate
BGR_Exports of goods and services (% of GDP),Bulgaria,BGR,Exports of goods and services (% of GDP),42.529566655328296,46.977878630893095,52.387705659878996,52.5185415394806,42.218850664151795,50.406237817665,59.102181817578106,60.6526494302123,64.80783260539191,64.8052586232989,63.9695836998374,64.044977540873,67.2791413488059,65.818725062445,exports_rate
"BGR_Exports of goods and services, PPP (constant 2017 international $)",Bulgaria,BGR,"Exports of goods and services, PPP (constant 2017 international $)",46726195842.05731,55124280727.25939,65503005628.81558,69662820882.3513,54110935118.14604,64965949672.29063,77967247681.24736,80297929930.02646,86078476036.44038,87697972011.97957,90020990212.05142,93570334340.7043,101738525479.39322,102608021918.15504,exports
"BGR_Exports of goods and services, PPP (constant 2017 international $) per capita",Bulgaria,BGR,"_Exports of goods and services, PPP (constant 2017 international $) per capita",6100.844322457023,7252.219599845836,8681.255316702258,9297.59809527761,7268.634485903921,8784.406735991313,10610.202440779367,10990.851478975103,11848.191809274924,12139.91205516708,12541.251474409959,13127.479101007895,14378.07907258113,14606.04718781624,exports_hab
"BGR_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Bulgaria,BGR,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",14019.849571256313,16026.848331051815,18644.582710352643,19477.59353321746,15455.42741991252,19015.34074099492,23394.787756519792,24026.08945416777,25560.55789887793,26097.61209123471,27002.500512043433,28663.93936166499,30304.937947370163,30835.31380687635,exports_labor_unit
"BGR_Foreign direct investment, net inflows (% of GDP)",Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",13.7201916627639,22.904363084004302,31.2470189183636,18.914247111729104,7.490200025769839,3.65786666432724,3.66605452575259,3.30927713792623,3.57641963105295,1.92190098146483,4.30327748326398,2.7440721223320494,3.4259588009091697,2.7264921806162596,IDE
"BGR_GDP per capita, PPP (constant 2017 international $)",Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",14344.948237775401,15437.520405778201,16571.1691461815,17703.4582887039,17216.5617290851,17427.2215430305,17952.3024607253,18120.975064117,18282.0368047444,18732.9119782303,19605.0228078033,20497.28113751,21370.7826591284,22191.3249974971,gdb_hab
"BGR_GDP, PPP (constant 2017 international $)",Bulgaria,BGR,"GDP, PPP (constant 2017 international $)",109867556894.571,117340932229.769,125035072263.111,132644241139.07,128167712448.155,128884742216.415,131919406836.616,132389814269.232,132821099820.70099,135325394690.19301,140724677269.207,146100971432.129,151218525444.512,155894879186.442,gdp
