"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"350","LTU",2011,14,28160.1,1252.7,5.6339451230077,106.98381440116,13819.5099054784,15.3900003433228,3028115,18962.5298643078,0.0040684698845776,0.490747898817062,"Iq_GFCF",5678.5,0.754846,0.00187525903078318,-0.439604257137873
"351","LUX",2011,15,38739,370.16,37.5390063758602,99.1277583317252,22135.7688776851,4.90100002288818,518347,193128.487869824,0.191142797344078,0.571407854557037,"Iq_GFCF",8043.2001953125,0.754309,0.01551701889914,-0.469316403546812
"352","LVA",2011,16,18037.8,856.22,5.13190731208269,103.921107394128,9117.84267668724,16.2059993743896,2059709,13200.8709437466,0.00563301740538432,0.50548529624939,"Iq_GFCF",4314.2001953125,0.754798,0.00209456782259654,-0.452952402047131
"353","NLD",2011,17,585953,8855,31.5576727956449,100.957994860637,397488.535368562,4.97700023651123,16693074,39897.1558125421,0.00278766675234266,0.678362488746643,"Iq_GFCF",132076,0.754309,0.00791202387289483,-0.183660446495097
"354","PRT",2011,18,154242.8,4776.73,11.1671564202326,102.064434082099,98123.8927736282,12.6770000457764,10557560,10799.5376586161,0.00183454552930683,0.636165142059326,"Iq_GFCF",32314.298828125,0.754309,0.00306077340106284,-0.320962047935466
"355","ROU",2011,19,491686.5,9082.2,14.9663549618646,100.530015886634,264546.175176054,7.17700004577637,20147528,7718.12066654985,0.000381157545168532,0.538038313388824,"Iq_GFCF",146179.5,3.1779,0.00725545585542802,-0.176011388476072
"356","SWE",2011,20,3227397,4594,237.456376187298,100.966226523009,1801367.189852,7.80399990081787,9449213,22496.5247483321,0.00501504710076912,0.558148622512817,"Iq_GFCF",832039,7.207524,0.0880537881832064,-0.327113950980433
"357","SVN",2011,21,32105.5,946.02,14.9055547440998,103.077792100248,23761.7808481753,8.16600036621094,2052843,23690.2232772155,0.0100999372636314,0.740115582942963,"Iq_GFCF",7345.7001953125,0.754309,0.00357830588862007,-0.449929138798414
"358","SVK",2011,22,63981.8,2208.31,8.12198788785741,101.388923792929,32713.0647236943,13.6169996261597,5398384,22770.0053172996,0.00291058051061171,0.511287033557892,"Iq_GFCF",16796.5,0.754309,0.00311139407644955,-0.407432090176777
"359","GBR",2011,23,1468323,29374.62,19.9177617697063,100.129587628094,973387.944537699,8.03699970245361,63258810,13019.8775589818,0.000566963563377215,0.662924945354462,"Iq_GFCF",251624,0.647179,0.00397769101252458,0.507165979157892
